True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
miniskirt vs sunscreen,,,t=2.94 p=3.70e-03 q=1.07e-02 d=0.22,,,,,t=-3.47 p=6.00e-04 q=2.30e-03 d=0.22,t=-9.31 p=0.00e+00 q=0.00e+00 d=0.75,t=4.30 p=0.00e+00 q=1.00e-04 d=0.24,t=10.46 p=0.00e+00 q=0.00e+00 d=1.19,t=8.91 p=0.00e+00 q=0.00e+00 d=1.02
miniskirt vs wig,,t=-2.81 p=5.50e-03 q=1.51e-02 d=0.14,t=-2.97 p=3.40e-03 q=9.90e-03 d=0.14,,,t=-2.42 p=1.64e-02 q=3.85e-02 d=0.14,,t=-4.53 p=0.00e+00 q=1.00e-04 d=0.34,t=-3.49 p=6.00e-04 q=2.20e-03 d=0.28,t=-3.17 p=1.80e-03 q=5.70e-03 d=0.25,,t=14.40 p=0.00e+00 q=0.00e+00 d=0.87
miniskirt vs lipstick,,t=-3.70 p=3.00e-04 q=1.10e-03 d=0.29,,,t=3.22 p=1.50e-03 q=4.90e-03 d=0.31,,t=-2.48 p=1.41e-02 q=3.37e-02 d=0.21,t=-4.05 p=1.00e-04 q=3.00e-04 d=0.27,,t=-4.07 p=1.00e-04 q=3.00e-04 d=0.25,t=9.46 p=0.00e+00 q=0.00e+00 d=1.12,t=16.21 p=0.00e+00 q=0.00e+00 d=0.76
miniskirt vs bra,,,t=3.17 p=1.80e-03 q=5.70e-03 d=0.18,t=3.05 p=2.60e-03 q=7.90e-03 d=0.14,,,t=-7.17 p=0.00e+00 q=0.00e+00 d=0.44,t=-4.96 p=0.00e+00 q=0.00e+00 d=0.24,t=-3.40 p=8.00e-04 q=2.80e-03 d=0.17,t=-3.34 p=1.00e-03 q=3.50e-03 d=0.21,t=7.42 p=0.00e+00 q=0.00e+00 d=0.98,t=11.06 p=0.00e+00 q=0.00e+00 d=0.53
miniskirt vs windsor,t=-2.91 p=4.10e-03 q=1.17e-02 d=0.15,t=-4.79 p=0.00e+00 q=0.00e+00 d=0.37,,,,,,t=-3.65 p=3.00e-04 q=1.30e-03 d=0.34,t=-9.50 p=0.00e+00 q=0.00e+00 d=1.04,t=-3.46 p=7.00e-04 q=2.40e-03 d=0.34,t=6.69 p=0.00e+00 q=0.00e+00 d=0.71,t=11.66 p=0.00e+00 q=0.00e+00 d=1.31
miniskirt vs desk,t=-2.33 p=2.06e-02 q=4.69e-02 d=0.10,,,,,,,,t=-3.96 p=1.00e-04 q=5.00e-04 d=0.48,,t=8.36 p=0.00e+00 q=0.00e+00 d=0.62,t=7.89 p=0.00e+00 q=0.00e+00 d=0.89
miniskirt vs library,,,,t=2.44 p=1.58e-02 q=3.72e-02 d=0.12,,,,,,t=-2.48 p=1.42e-02 q=3.39e-02 d=0.21,t=14.00 p=0.00e+00 q=0.00e+00 d=1.36,t=9.01 p=0.00e+00 q=0.00e+00 d=1.04
academicgown vs pajamas,t=2.67 p=8.30e-03 q=2.16e-02 d=0.03,t=3.04 p=2.70e-03 q=8.30e-03 d=0.10,,,,,t=4.35 p=0.00e+00 q=1.00e-04 d=0.23,t=7.66 p=0.00e+00 q=0.00e+00 d=0.50,t=16.59 p=0.00e+00 q=0.00e+00 d=1.28,,,t=-11.93 p=0.00e+00 q=0.00e+00 d=0.77
academicgown vs oscilloscope,t=-2.74 p=6.70e-03 q=1.80e-02 d=0.23,t=-3.47 p=7.00e-04 q=2.40e-03 d=0.34,,t=-5.81 p=0.00e+00 q=0.00e+00 d=0.56,,,t=6.57 p=0.00e+00 q=0.00e+00 d=0.58,t=4.00 p=1.00e-04 q=4.00e-04 d=0.45,t=5.07 p=0.00e+00 q=0.00e+00 d=0.51,,,t=-13.05 p=0.00e+00 q=0.00e+00 d=1.57
academicgown vs suit,,t=3.52 p=5.00e-04 q=2.00e-03 d=0.13,t=-2.58 p=1.05e-02 q=2.63e-02 d=0.14,,t=3.43 p=8.00e-04 q=2.70e-03 d=0.27,,t=3.42 p=8.00e-04 q=2.70e-03 d=0.15,,,t=4.61 p=0.00e+00 q=0.00e+00 d=0.37,t=9.11 p=0.00e+00 q=0.00e+00 d=0.64,t=-16.20 p=0.00e+00 q=0.00e+00 d=1.12
